listing_ID,bathrooms,bedrooms,lat,lng,capacity
HOM321.2064429.2628961,2,2,28.48090119,-81.46570525,5
HOM321.2087753.2652286,3,3,28.45890652,-81.33327888,6
HOM321.2087801.2652334,1,2,28.45722657,-81.33744342,4
HOM321.2087827.2652360,1,null,28.45640187,-81.33936478,2
HOM321.2087834.2652367,3,3,28.45980294,-81.33810604,4
HOM321.2095249.2659782,3,3,28.396333,-81.456924,12
HOM321.2125514.2690048,1,1,28.4894005,-81.405704,4
HOM321.2126355.2690889,3,3,28.42804683,-81.47551003,12
HOM321.2134501.2699037,2,3,28.425861,-81.445709,8
HOM321.2164176.2728712,2,2,28.38891108,-81.50001761,6
HOM321.2194373.2758914,2,3,28.429522,-81.450456,8
HOM321.2200532.2765073,,,,,
HOM321.2205078.2769632,2,3,28.4257375,-81.4451678,6
HOM321.2250362.2814928,2,3,28.4285111,-81.4516739,6
HOM321.2266435.2831307,3,3,28.4309301,-81.44997219999999,10
HOM321.2266452.2831324,2,2,28.4285111,-81.4516739,4
HOM321.2266500.2831372,3,3,28.430891,-81.4499146,6
HOM321.2267654.2832526,2,3,28.4282626,-81.4477261,6
HOM321.2267657.2832529,3,3,28.4312905,-81.45083,6
HOM321.2267700.2832572,2,3,28.4283141,-81.4456664,6
HOM321.2267703.2832575,2,3,28.4289662,-81.4481124,6
HOM321.2267740.2832612,2,3,28.4255544,-81.44570929999999,6
HOM321.2269159.2834033,2,4,28.4276219,-81.44618129999999,8
HOM321.2269185.2834059,2,2,28.4255544,-81.44570929999999,4
HOM321.2269250.2834124,3,3,28.4298394,-81.450846,6
HOM321.2279003.2843885,3,3,28.429212,-81.4461457,8
HOM321.2290890.2856499,2,2,28.39991951,-81.42683411,8
HOM321.2290891.2856505,2,2,28.39991951,-81.42683411,8
HOM321.2320777.2887029,,,,,
HOM121.3475380.3449935,2,3,28.42681494,-81.44591478,10
HOM121.3498815.3476349,2,3,28.428474,-81.451749,6
HOM121.3498822.3476356,3,3,28.429617939871616,-81.45231013068843,6
HOM121.3498824.3476358,3,3,28.42953239017205,-81.44603988280335,8
HOM121.3498850.3476384,2,3,28.42628111,-81.44400195,8
HOM121.3498877.3476411,2,3,28.42761718242782,-81.44618129999998,8
HOM121.3627498.3641920,2,3,28.3932,-81.4018,6
HOM121.3732910.3747631,2,3,28.361964,-81.351251,6
HOM121.3798246.3813244,2,3,28.4286908,-81.44871849999998,6
HOM121.3798247.3813245,2,3,28.428961,-81.448587,6
HOM121.3845529.4219049,3,3,28.43046139456402,-81.45080450297172,8
HOM121.3882878.4256398,2,2,28.425905064862835,-81.4455178,4
HOM121.390440.3180854,2,3,28.4286908,-81.44871849999998,8
HOM121.3905187.4278707,2,2,28.362501,-81.496425,6
HOM121.3905321.4278841,1,1,28.427207,-81.475775,4
HOM121.3905334.4278854,2,2,28.388782,-81.502685,6
HOM121.3926306.4299826,3,3,28.43151256,-81.44715684,6
HOM121.3966489.4353095,2,2,28.43062403,-81.44242236,6
HOM121.3990382.4377878,4,3,28.428961,-81.448587,6
HOM121.3990385.4377881,2,2,28.428961,-81.448587,4
HOM121.3990386.4377882,2,3,28.428961,-81.448587,6
HOM121.3990390.4377886,4,3,28.428961,-81.448587,6
HOM121.3990391.4377887,4,3,28.428961,-81.448587,7
HOM121.4016696.4405708,2,3,28.4282,-81.475119,12
HOM121.4074449.4470743,2,3,28.42511957,-81.44441941,8
HOM121.4104748.4503686,2,2,28.428630978695953,-81.44966619206548,4
HOM121.4104749.4503687,2,3,28.428961,-81.448587,8
HOM121.4104750.4503688,2,3,28.428961,-81.448587,6
HOM121.4112621.4511895,2,4,28.461947,-81.38737200000003,12
HOM121.4161196.4562996,2,3,28.42849,-81.4509719,6
HOM121.4163871.4565673,2,1,28.5054224,-81.299539,5
HOM121.4163872.4565674,2,2,28.503863,-81.3008058,4
HOM121.4163881.4565683,2,3,28.5133831,-81.3012177,6
HOM121.4163883.4565685,2,2,28.503883,-81.299808,6
HOM121.4163887.4565689,,,,,
HOM121.4163888.4565690,2,2,28.513056,-81.29967,4
HOM121.4163891.4565693,2,2,28.5133866,-81.2993506,4
HOM321.419059.1002106,3,3,28.43035,-81.45027099999999,8
HOM121.4262683.4670312,2,3,28.428321531687516,-81.44593659140173,8
HOM121.4291793.4701174,2,3,28.4255097,-81.4451658,6
HOM121.4306897.4716843,2,3,28.42849,-81.45097190000001,8
HOM121.4381255.4811081,2,3,28.42893,-81.44862,8
HOM121.4386874.4832072,2,2,28.42939,-81.44841,6
HOM121.4386874.4832161,2,2,28.42939,-81.44841,2
HOM121.4386874.8335451,2,3,28.42939,-81.44841,6
HOM121.4392424.4858762,0,1,28.39918,-81.46079,4
HOM121.4392424.4858829,0,1,28.39918,-81.46079,4
HOM121.4413658.4956734,0,2,28.42893,-81.4486,4
HOM121.4413658.4956806,0,3,28.42893,-81.4486,6
HOM121.4427989.5010559,2,3,28.43203367,-81.44613907,6
HOM121.4442049.5026806,2,4,28.348166,-81.427231,8
HOM121.4477755.5066107,2,3,28.427685,-81.446236,8
HOM121.4539065.5144770,1,1,28.38927,-81.49743,4
HOM121.4539096.5144896,2,2,28.38745,-81.47764,6
HOM121.4539096.5144897,2,2,28.38745,-81.47764,6
HOM121.4539138.5145102,0,1,28.3687,-81.50178,6
HOM121.4544765.5153044,2,3,28.425504,-81.44578,6
HOM121.4544766.5153045,4,3,28.4293923,-81.4452335,6
HOM121.4589696.5229650,2,1,28.3690037,-81.5010466,6
HOM121.4591977.5240534,2,2,28.45592,-81.46534,4
HOM121.4599675.5308425,1,null,28.42074,-81.47617,4
HOM121.4646010.5404255,2,2,28.505781,-81.301075,4
HOM121.4663801.5478554,2,3,28.40735932651506,-81.44539458598325,10
HOM121.4731789.5705581,,,,,
HOM121.4748959.5728691,2,2,28.368558,-81.501924,8
HOM121.4748960.5728692,2,1,28.368558,-81.501924,6
HOM121.4749045.5728778,2,3,28.4284,-81.4509,8
HOM121.4749046.5728779,2,2,28.4276,-81.4462,6
HOM121.4768968.5753321,2,2,28.398262,-81.426601,8
HOM121.4768976.5753329,2,2,28.401118,-81.472533,8
HOM121.4769007.5753360,1,1,28.3965238,-81.4537666,4
HOM121.4769008.5753361,2,1,28.3995167,-81.4269665,4
HOM121.4791529.5780098,2,2,28.388782,-81.502685,6
HOM121.4799837.5790483,1,1,28.427207,-81.475775,4
HOM121.4809773.5803011,2,3,28.428314,-81.445663,6
HOM121.4842934.5846658,4,3,28.4293923,-81.4452335,9
HOM121.4842935.5846659,2,3,28.4252504,-81.4452821,6
HOM121.4842937.5846661,2,3,28.425504,-81.44578,6
HOM121.4842938.5846662,2,3,28.425504,-81.44578,6
HOM121.4863565.5882683,3,3,28.42901,-81.44835,6
HOM121.4867469.5889993,2,2,28.46378,-81.45217,6
HOM121.4869204.5893351,1,1,28.38902,-81.50298,4
HOM121.4937558.6113708,2,3,28.425504,-81.44578,6
HOM121.4941815.6119181,2,4,28.36199342,-81.36783155,8
HOM121.4989370.6225635,2,2,28.507547,-81.301204,4
